Source,Target,Type
UCiIPiiSSWfLEztgkK0M4uNg,UCm1Y_WtObZ2x_0VGc1X7XSg,Directed
UCiIPiiSSWfLEztgkK0M4uNg,UCeWftFrrogEeTcrUmSpUk6Q,Directed
UCiIPiiSSWfLEztgkK0M4uNg,UCNzIt2rpwadPI7p94XvLkuA,Directed
UCiIPiiSSWfLEztgkK0M4uNg,UC1KjWRBCUGvxDkrhu_-UBWg,Directed
UCiIPiiSSWfLEztgkK0M4uNg,UCgOqhYsIiQuj1HEIcOzwQdg,Directed
UCiIPiiSSWfLEztgkK0M4uNg,UC5ftZbVdju762l2VyC171uA,Directed
UCiIPiiSSWfLEztgkK0M4uNg,UCYhH65nE2M8rGwMWvAlVu2A,Directed
UCiIPiiSSWfLEztgkK0M4uNg,UCrpCBgU3UJ_TxK5cdUM-WVQ,Directed
UCiIPiiSSWfLEztgkK0M4uNg,UCLjhtMys-2MJX-64_P0rJOQ,Directed
UCvmkLmnIN-Z0HJEObrlIcdg,UCthUKUdCLSe0P-wyVLE9XeQ,Directed
UCvmkLmnIN-Z0HJEObrlIcdg,UCEM8mimgOIJZK46kpKThl3Q,Directed
UCthUKUdCLSe0P-wyVLE9XeQ,UCvmkLmnIN-Z0HJEObrlIcdg,Directed
UCthUKUdCLSe0P-wyVLE9XeQ,UCEM8mimgOIJZK46kpKThl3Q,Directed
UCeQEKFH31vvD-InkTGSvCrA,UCtyqy6OSBEo7TcmtCOYD-gg,Directed
UCeQEKFH31vvD-InkTGSvCrA,UC6nSFpj9HTCZ5t-N3Rm3-HA,Directed
UCeQEKFH31vvD-InkTGSvCrA,UCljCD9VDAO7TWUCyb69SL-Q,Directed
UCeQEKFH31vvD-InkTGSvCrA,UC1zZE_kJ8rQHgLTVfobLi_g,Directed
UCTwi6wQYhnSWpMgJA4d3sdw,UC4a-Gbdw7vOaccHmFo40b9g,Directed
UCoxcjq-8xIDTYp3uz647V5A,UCtwKon9qMt5YLVgQt1tvJKg,Directed
UCoxcjq-8xIDTYp3uz647V5A,UCtESv1e7ntJaLJYKIO1FoYw,Directed
UCoxcjq-8xIDTYp3uz647V5A,UC9-y-6csu5WGm29I7JiwpnA,Directed
UCoxcjq-8xIDTYp3uz647V5A,UCvBqzzvUBLCs8Y7Axb-jZew,Directed
UCoxcjq-8xIDTYp3uz647V5A,UCo-3ThNQmPmQSQL_L6Lx1_w,Directed
UCoxcjq-8xIDTYp3uz647V5A,UCCAgrIbwcJ67zIow1pNF30A,Directed
UCoxcjq-8xIDTYp3uz647V5A,UCyp1gCHZJU_fGWFf2rtMkCg,Directed
UCoxcjq-8xIDTYp3uz647V5A,UCnQtJro3IurKlxp7XSPqpaA,Directed
UCDom90xOqP4avehFjSJO6NA,UC6sWKVFVfuyTk0FTPY4c62Q,Directed
UCDom90xOqP4avehFjSJO6NA,UCA_kqRHsoKxPZ22PPkaGwjA,Directed
UC6107grRI4m0o2-emgoDnAA,UC8VkNBOwvsTlFjoSnNSMmxw,Directed
UC6107grRI4m0o2-emgoDnAA,UC0tq0g5u2bo-TErZt7SJM6w,Directed
UC6107grRI4m0o2-emgoDnAA,UCVnIvJuTZqM5nnwGFpA57_Q,Directed
UC6107grRI4m0o2-emgoDnAA,UCHnyfMqiRRG1u-2MsSQLbXA,Directed
UC6107grRI4m0o2-emgoDnAA,UCQALLeQPoZdZC4JNUboVEUg,Directed
UC6107grRI4m0o2-emgoDnAA,UC6nSFpj9HTCZ5t-N3Rm3-HA,Directed
UC6107grRI4m0o2-emgoDnAA,UC7DdEm33SyaTDtWYGO2CwdA,Directed
UC6107grRI4m0o2-emgoDnAA,UCCkFJmUgzrZdkeHl_qPItsA,Directed
UCGi_crMdUZnrcsvkCa8pt-g,UCPZiqlNI3RLyF47QTdq93GQ,Directed
UCGi_crMdUZnrcsvkCa8pt-g,UCP6T93Fe7qKYlvb_5Cs8Z4g,Directed
UCGi_crMdUZnrcsvkCa8pt-g,UCg53HWQKuqaAV2u-Acwn7-g,Directed
UCGi_crMdUZnrcsvkCa8pt-g,UCEbU52pOVZ_JNsfQGT0OcHA,Directed
UCGi_crMdUZnrcsvkCa8pt-g,UCbWUEnTRHb3bRdrnovq8iuA,Directed
UCGi_crMdUZnrcsvkCa8pt-g,UCykERqO6KgqYF6t3l_hNVfQ,Directed
UCGi_crMdUZnrcsvkCa8pt-g,UCQDOCKAxfpGz0651lfVFx0g,Directed
UCGi_crMdUZnrcsvkCa8pt-g,UCX8Rig7syHiCNfbllCjQsTQ,Directed
UCGi_crMdUZnrcsvkCa8pt-g,UCCh7U3drvcpmgku2lxrPKhw,Directed
UCGi_crMdUZnrcsvkCa8pt-g,UCcw05gGzjLIs5dnxGkQHMvw,Directed
UCGi_crMdUZnrcsvkCa8pt-g,UCYaxFu7vpNPPbF5lM8PYONw,Directed
UCGi_crMdUZnrcsvkCa8pt-g,UC5OrC-r3q_-MTANVJaTXgRQ,Directed
UCGi_crMdUZnrcsvkCa8pt-g,UCOmYJqve50YoTdmIAsFK6XQ,Directed
UCGi_crMdUZnrcsvkCa8pt-g,UCZOVdmfatIcyt2Db_06HLsA,Directed
UCGi_crMdUZnrcsvkCa8pt-g,UCqNb2NdEHGjdCCJGLRJB-6Q,Directed
UCGi_crMdUZnrcsvkCa8pt-g,UC9nQ7miOaueVvDIF5bpc38w,Directed
UCGi_crMdUZnrcsvkCa8pt-g,UCCBGVeAveF6xPuoEnOJYLiA,Directed
UCGi_crMdUZnrcsvkCa8pt-g,UCCIz_Hd8SKFvyzzDMzDjU9g,Directed
UCGi_crMdUZnrcsvkCa8pt-g,UCWbTgc98h6eTjdydHVPJt-A,Directed
UC2LZO6swZ9SLUEOks3WnsfA,UCHnyfMqiRRG1u-2MsSQLbXA,Directed
UC2LZO6swZ9SLUEOks3WnsfA,UCGRB1ZjIqAiaGwt-XLq9CnA,Directed
UCUK0HBIBWgM2c4vsPhkYY4w,UCgC4Nn0rqqdeqACnzaIMo_Q,Directed
UCHnyfMqiRRG1u-2MsSQLbXA,UCXtxgWwk55kVJo9lCCZRdmg,Directed
UCHnyfMqiRRG1u-2MsSQLbXA,UCo-UabaGleyY7a9saGSMNkg,Directed
UCHnyfMqiRRG1u-2MsSQLbXA,UCOgK3J7WTOl5f5Fd51kcoSg,Directed
UCHnyfMqiRRG1u-2MsSQLbXA,UCmW1gxCoUCyWBAMDJ0J1MbQ,Directed
UCHnyfMqiRRG1u-2MsSQLbXA,UC2LZO6swZ9SLUEOks3WnsfA,Directed
UCHnyfMqiRRG1u-2MsSQLbXA,UCGRB1ZjIqAiaGwt-XLq9CnA,Directed
UCHnyfMqiRRG1u-2MsSQLbXA,UCUQHsAYGhWhKUpy8MfE1ddg,Directed
