Id,Label,isseed,seedrank,subscribercount,videocount,viewcount(100s),country,publishedat,daysactive
UCj0B9ReVf3KkSfmGMglxz3A,Triaxial Space,no,,3610,6,3050,not set,2016-03-07T12:33:17Z,2874
UCONtPx56PSebXJOxbFv-2jQ,Crash Course Kids,no,,784000,104,914422,US,2014-09-08T16:46:23Z,3420
UCSc8lYlSyXiKeYhlIop8Ykg,Study Hall,no,,79300,697,23959,US,2021-11-03T20:41:37.012544Z,807
UCO4QqzrJg0b9KoMKfQsX6LQ,Crash Course en Español,no,,6770,40,1120,US,2016-10-12T20:04:45Z,2655
UCRFIPG2u1DxKLNuE3y2SjHA,SciShow Kids,no,,1080000,560,2955050,US,2014-07-10T18:03:52Z,3480
UCulPDQterZnkPKt5nK549ZA,SciShow Tangents,no,,29500,99,11082,US,2022-04-07T17:41:57.415702Z,652
UCzR-rom72PHN9Zg7RML9EbA,PBS Eons,no,,2860000,382,6346795,US,2017-05-18T14:44:35Z,2437
UC9Lp_AA5M2cMGrlvnnIns-g,Bizarre Beasts,no,,242000,58,138038,US,2020-05-05T21:51:43.884701Z,1354
UCpo_DqbwM6THTXGGY4AsXOQ,Complexly,no,,18400,19,2540,US,2017-01-13T22:35:04Z,2562
UClIZqOLqUCro7bKztUjYCNA,Doctor Ali Mattu,no,,282000,257,134458,US,2014-11-04T20:31:41Z,3363
UCerL4WZxy37tdPyDt2x3zMA,Trace Dominguez,no,,88400,158,26528,US,2006-12-04T02:20:37Z,6256
UCYLrBefhyp8YyI9VGPbghvw,Neuro Transmissions,no,,214000,183,148246,US,2014-10-15T22:49:15Z,3383
UC52kszkc08-acFOuogFl5jw,Tibees,no,,1210000,279,1579749,AU,2006-10-28T11:52:14Z,6292
UCH4BNI0-FOK2dMXoFtViWHw,Be Smart,no,,4970000,424,5702792,US,2012-03-17T14:59:36Z,4325
UC1H1NWNTG2Xi3pt85ykVSHA,Jordan Harrod,no,,85100,261,21891,US,2018-07-21T01:21:56Z,2009
UCXX7AV8HDBCZXbKRHJYYODg,Estefannie,no,,88700,17,11578,US,2011-09-02T18:08:48Z,4522
UCsI_41SZafKtB5qE46WjlQQ,Becky Stern,no,,92500,249,56479,US,2006-12-05T09:57:04Z,6254
UC-glo52BMvZH9PPUamjGIcw,Kids Invent Stuff,no,,65600,173,31259,GB,2015-08-14T17:57:24Z,3080
UCQ0_JQL4wdQd-Xe5hC4PwTg,Maddie Moate,no,,266000,357,774036,GB,2009-10-08T22:03:36Z,5216
UCsvUzBAxu2t5e_qOEr6iczQ,Donna,no,,559000,216,448562,US,2010-08-21T01:07:46Z,4900
UC88Pezsxv3IUMAoQGP2w07w,Melissa Maribel,no,,344000,274,269627,US,2017-07-04T22:38:43Z,2390
UCj7mQxv2dAm6mhyx8-kb5Xw,Emily Calandrelli,no,,24500,119,7948,US,2009-12-21T14:35:57Z,5142
UCewg2tYzQLkyKv-6FSbJtfg,MinuteMinis,no,,343000,242,1316684,US,2022-02-14T19:51:46.986456Z,704
UCA0g3liRXdpqyhxiQiE55tA,MinuteFood,no,,201000,61,265067,US,2011-10-14T08:37:13Z,4480
UCB0zinWfy-dS_NqcOINYo3A,Minuto da Terra,no,,1030000,498,2685397,BR,2013-07-02T00:28:59Z,3854
UC_6luMR5xA4lRBA2mq53JEQ,MinuteEarthArabic دقيقة أرض,no,,2190,8,331,SA,2018-12-18T15:51:09Z,1858
UCOlfKD0z3frq7OwQZrpAuDQ,MinutePourLaTerre,no,,2370,39,817,FR,2014-08-12T15:22:13Z,3447
UC3UECavcpHnR7U_wUOtHd3A,Jimmy Wong,no,,248000,35,164467,not set,2005-09-18T07:37:20Z,6697
UCzdbnf-pIJh-Qp6fdSb5ezw,collectivecadenza,no,,285000,39,391173,not set,2011-09-27T21:53:46Z,4497
UCbdSYaPD-lr1kW27UJuk8Pw,QuantumFracture,no,,3390000,370,3689629,ES,2012-08-22T14:53:42Z,4167
UCcs0ZkP_as4PpHDhFcmCHyA,mikeselectricstuff,no,,129000,287,150655,not set,2007-04-22T13:43:51Z,6116
UC2DjFE7Xf11URZqWBigcVOQ,EEVblog,no,,926000,1938,2012055,AU,2009-04-04T22:27:18Z,5403
UC966ccV08PVAmZRhcC0SU8Q,bionerd23,no,,162000,220,414127,not set,2007-02-09T00:21:44Z,6189
UCKLIIdKEpjAnn8E76KP7sQg,mrpete222,no,,300000,1663,880021,US,2006-08-08T23:11:07Z,6373
UClTpDNIOtgfRkyT-AFGNWVw,Jeri Ellsworth,no,,146000,129,159456,US,2007-11-20T23:37:15Z,5904
UCh57rwk3ySElDpzgCDLh9KA,AgentJayZ,no,,190000,701,683919,CA,2007-08-16T03:40:45Z,6001
UCckETVOT59aYw80B36aP9vw,Matthias Wandel,no,,1720000,855,5996262,CA,2007-04-09T22:54:31Z,6129
UC_qnstrfqLzopNGSWP5lOng,Alan Yates,no,,10200,187,16727,not set,2009-12-08T12:46:44Z,5155
UCM09oeJcaGmqzRWd8Pw4CVw,Jeri Ellsworth,no,,19700,12,6374,not set,2011-05-15T06:56:15Z,4632
UCSY6p1ZwMs0lW2XP7Zc7k9g,RimstarOrg,no,,327000,251,448966,not set,2009-02-17T20:53:41Z,5449
UC-FCbpK3Aaga0gPqc429Xhg,igor30,no,,1180000,889,4993377,US,2006-04-02T00:56:31Z,6502
UCosnWgi3eorc1klEQ8pIgJQ,Afrotechmods,no,,790000,82,943440,CA,2008-07-13T19:40:17Z,5668
UCYA1VjSKXgNVh03wjw_HSRA,Dan Gelbart,no,,47100,23,22697,CA,2007-09-09T07:53:07Z,5976
UCKxRARSpahF1Mt-2vbPug-g,The Signal Path,no,,118000,297,96103,US,2011-05-20T21:58:44Z,4627
UCiikqsFCXlqh4lPxHvoDEJw,RODALCO2007,no,,78600,1912,570052,NZ,2007-07-01T11:48:03Z,6046
UCG7yIWtVwcENg_ZS-nahg5g,CNLohr,no,,62200,238,92465,US,2006-09-10T14:24:31Z,6340
UCMdOWi6nBZJ3Q0tHNQIOUVA,tesla500,no,,67300,195,139991,CA,2006-06-26T08:14:01Z,6416
UCtVVH0b-Xl5O_JeE9LM7HMQ,Makerj101,no,,77200,306,220643,US,2011-07-31T17:15:09Z,4555
UC6GeDu1HXL3hMwPndpAhhWg,BenNBuilds,no,,22500,35,31569,US,2013-07-21T00:18:22Z,3835
UCgsscXVCexkF7QI7ekbbQQA,A3Academy,no,,2390,62,1644,US,2014-03-07T02:40:18Z,3606
UCR3ZOcUoPHiFGd-Q9FwV-yA,KhanAcademyMarathi,no,,638,637,199,not set,2010-02-24T08:30:07Z,5077
UCAZVGqf4mQxew_v5epMDRbg,KhanAcademyPunjabi,no,,1230,453,376,not set,2011-05-17T19:31:39Z,4630
UCxG6UXMDD7sWgQhgXD7x47Q,Khan Academy Assamese,no,,225,116,37,IN,2022-08-24T05:15:44.045355Z,514
UCg4BkaHyyE_4-RvEMJ2PTtA,Khan Academy India - English,no,,384000,1097,335383,IN,2018-03-08T20:00:29Z,2143
UClHj-U2Ec9W7Jt2sHiwQwAw,KhanAcademyKannada,no,,5700,1533,5292,IN,2011-05-17T19:28:51Z,4630
UCaglh99xdT0llj9Fn2RIsGQ,KhanAcademyGujarati,no,,3980,3542,1089,IN,2016-07-12T00:03:54Z,2748
