Source,Target,Type,Id,Label,Weight
UC0F6VfbgpxEUiulohFrKGcw,UCDom90xOqP4avehFjSJO6NA,Directed,51205,,1
UC0F6VfbgpxEUiulohFrKGcw,UC6107grRI4m0o2-emgoDnAA,Directed,51206,,1
UC0F6VfbgpxEUiulohFrKGcw,UCGi_crMdUZnrcsvkCa8pt-g,Directed,51207,,1
UC0F6VfbgpxEUiulohFrKGcw,UC2LZO6swZ9SLUEOks3WnsfA,Directed,51208,,1
UC0F6VfbgpxEUiulohFrKGcw,UCUK0HBIBWgM2c4vsPhkYY4w,Directed,51209,,1
UC0F6VfbgpxEUiulohFrKGcw,UCHnyfMqiRRG1u-2MsSQLbXA,Directed,51210,,1
UC0F6VfbgpxEUiulohFrKGcw,UCvGMGQC8gNkd4gwxSbABIlw,Directed,51211,,1
UC0F6VfbgpxEUiulohFrKGcw,UCOGeU-1Fig3rrDjhm9Zs_wg,Directed,51212,,1
UC0F6VfbgpxEUiulohFrKGcw,UC2C_jShtL725hvbm1arSV9w,Directed,51213,,1
UC0F6VfbgpxEUiulohFrKGcw,UCUHW94eEFW7hkUMVaZz4eDg,Directed,51214,,1
UC0F6VfbgpxEUiulohFrKGcw,UCC552Sd-3nyi_tk2BudLUzA,Directed,51215,,1
UC0F6VfbgpxEUiulohFrKGcw,UC4a-Gbdw7vOaccHmFo40b9g,Directed,51216,,1
UC0F6VfbgpxEUiulohFrKGcw,UCiOkLGlj4azqep3O_J0wLkw,Directed,51217,,1
UC0F6VfbgpxEUiulohFrKGcw,UCGaVdbSav8xWuFWTadK6loA,Directed,51218,,1
UCfGpiZatn2kcw8wTmakU7Ng,UCQXxfC5_Wvlx-eywB9EmaMw,Directed,51219,,1
UCfGpiZatn2kcw8wTmakU7Ng,UCYhH65nE2M8rGwMWvAlVu2A,Directed,51220,,1
UCfGpiZatn2kcw8wTmakU7Ng,UCsV_xDVe9DUY7xXq0rezB9g,Directed,51221,,1
UCfGpiZatn2kcw8wTmakU7Ng,UCHnyfMqiRRG1u-2MsSQLbXA,Directed,51222,,1
UCfGpiZatn2kcw8wTmakU7Ng,UCUHW94eEFW7hkUMVaZz4eDg,Directed,51223,,1
UCaKcxkbifcCNfT0YWHS_jfg,UClTKA4g2BdD2THYNJp1DMqA,Directed,51224,,1
UCaKcxkbifcCNfT0YWHS_jfg,UC07-dOwgza1IguKA86jqxNA,Directed,51225,,1
UCaKcxkbifcCNfT0YWHS_jfg,UCiMg06DjcUk5FRiM3g5sqoQ,Directed,51226,,1
UCaKcxkbifcCNfT0YWHS_jfg,UCBqIMmJ53QNXnNkhYNF-AFw,Directed,51227,,1
UCaKcxkbifcCNfT0YWHS_jfg,UCsmqJ7u3r_gTNLmiSvTZ87Q,Directed,51228,,1
UCaKcxkbifcCNfT0YWHS_jfg,UC5t1Dmp9f-vHKyBkV0YDpRA,Directed,51229,,1
UCaKcxkbifcCNfT0YWHS_jfg,UCCdnN4v9Fia0pjUzYlUBsGg,Directed,51230,,1
UCj1vp76vtmOPWmol8VQCVgQ,UCXxuHuBUEtU-EVt_jNC9Psg,Directed,51231,,1
UCj1vp76vtmOPWmol8VQCVgQ,UCd08ZkxIZtrxQcAt3FWr-5A,Directed,51232,,1
UCj1vp76vtmOPWmol8VQCVgQ,UC1ZXhPG1oQQ1rIJDlIXbAAw,Directed,51233,,1
UCj1vp76vtmOPWmol8VQCVgQ,UC5_cOGjJLcGtAReRVqNctKw,Directed,51234,,1
UCj1vp76vtmOPWmol8VQCVgQ,UCVNoiuhM5htUME42ciWqZ6A,Directed,51235,,1
UCj1vp76vtmOPWmol8VQCVgQ,UCUiXbkWQPwr7CBVJOFktYzg,Directed,51236,,1
UC6P43_uL3V_BxSVkolqNYbQ,UCUvn6Rx9RA__wXipJII3h_Q,Directed,51237,,1
UCkzWeBdlOjxC4HgmbyOQblQ,UCWKJAZQ7AU9UzuY8GAcpMew,Directed,51238,,1
UCkzWeBdlOjxC4HgmbyOQblQ,UCJquYOG5EL82sKTfH9aMA9Q,Directed,51239,,1
UCkzWeBdlOjxC4HgmbyOQblQ,UCnkp4xDOwqqJD7sSM3xdUiQ,Directed,51240,,1
UCkzWeBdlOjxC4HgmbyOQblQ,UCTUtqcDkzw7bisadh6AOx5w,Directed,51241,,1
UCkzWeBdlOjxC4HgmbyOQblQ,UCh-PyMficPzVAihCJkFJVAA,Directed,51242,,1
UCkzWeBdlOjxC4HgmbyOQblQ,UCUvn6Rx9RA__wXipJII3h_Q,Directed,51243,,1
UCkzWeBdlOjxC4HgmbyOQblQ,UCy0tKL1T7wFoYcxCe0xjN6Q,Directed,51244,,1
UCkzWeBdlOjxC4HgmbyOQblQ,UC1KjWRBCUGvxDkrhu_-UBWg,Directed,51245,,1
UCkzWeBdlOjxC4HgmbyOQblQ,UCC2qOTfLMBqGkwxBhdRlLMA,Directed,51246,,1
UC6sdbGKkS3oamnjNIoaj6nA,UCx-_VqUm2Lj1GJjNBLRUS2Q,Directed,51247,,1
UC6sdbGKkS3oamnjNIoaj6nA,UCQXxfC5_Wvlx-eywB9EmaMw,Directed,51248,,1
UC6sdbGKkS3oamnjNIoaj6nA,UCsV_xDVe9DUY7xXq0rezB9g,Directed,51249,,1
UC6sdbGKkS3oamnjNIoaj6nA,UCCAeI-ImjUKXh0SC45n7Wvw,Directed,51250,,1
UCNI0qOojpkhsUtaQ4_2NUhQ,UC0-vwPmp-nmu_Huza_nq0AA,Directed,51251,,1
UCNI0qOojpkhsUtaQ4_2NUhQ,UC6jEF1orhgER1Nsc174FwTg,Directed,51252,,1
UCNI0qOojpkhsUtaQ4_2NUhQ,UCnfPOvdkVXD3mlZ0a4EiNjA,Directed,51253,,1
UCNI0qOojpkhsUtaQ4_2NUhQ,UCbp_cl19joUzabi_Qq-qEdg,Directed,51254,,1
UCNI0qOojpkhsUtaQ4_2NUhQ,UC5vHx2rPpI3PITVleKbpfcQ,Directed,51255,,1
UCNI0qOojpkhsUtaQ4_2NUhQ,UCj4fwpXgw-jyiZ4TPAdChbw,Directed,51256,,1
UCNI0qOojpkhsUtaQ4_2NUhQ,UCG-iSMVtWbbwDDXgXXypARQ,Directed,51257,,1
UCNI0qOojpkhsUtaQ4_2NUhQ,UCqud2JSlc2qY0EazWPQl9Ig,Directed,51258,,1
UCesNt4_Z-Pm41RzpAClfVcg,UCOu39JmhrPrPFhEn-hZ9ifw,Directed,51259,,1
UCesNt4_Z-Pm41RzpAClfVcg,UCNI0qOojpkhsUtaQ4_2NUhQ,Directed,51260,,1
UCesNt4_Z-Pm41RzpAClfVcg,UCmoXpGV2ndEPw4qILnhJ6og,Directed,51261,,1
UCsXVk37bltHxD1rDPwtNM8Q,UCwRH985XgMYXQ6NxXDo8npw,Directed,51262,,1
UCsXVk37bltHxD1rDPwtNM8Q,UCZcvCpFcLxOKGbMocVgLjEA,Directed,51263,,1
UCsXVk37bltHxD1rDPwtNM8Q,UCzMHLUJ8xTqDq6xsk0N5IdQ,Directed,51264,,1
UCsXVk37bltHxD1rDPwtNM8Q,UCIR1LQvYrHOWBpOGq5nFo0Q,Directed,51265,,1
